ZONE,AT,HH,CarbonTon
165,1,513.000000000000,1.190
166,1,787.000000000000,1.826
167,1,611.000000000000,1.418
168,1,863.000000000000,2.003
169,1,28.000000000000,0.065
170,1,1078.000000000000,2.502
171,1,1346.000000000000,3.124
172,1,645.000000000000,1.497
173,1,158.000000000000,0.367
174,1,429.000000000000,0.996
175,1,0.000000000000,0.000
176,1,497.000000000000,1.153
177,1,304.000000000000,0.705
178,1,94.000000000000,0.218
179,1,600.000000000000,1.392
180,1,523.000000000000,1.214
181,1,762.000000000000,1.768
182,1,406.000000000000,0.942
183,1,1130.000000000000,2.622
184,1,628.000000000000,1.457
185,1,682.000000000000,1.583
186,1,640.000000000000,1.485
187,1,145.000000000000,0.336
188,1,653.000000000000,1.515
189,1,10.000000000000,0.023
190,1,1854.000000000000,4.302
191,1,484.000000000000,1.123
192,1,1280.000000000000,2.970
193,1,121.000000000000,0.281
194,1,0.000000000000,0.000
195,1,1213.000000000000,2.815
196,1,650.000000000000,1.508
197,1,0.000000000000,0.000
198,1,705.000000000000,1.636
199,1,483.000000000000,1.121
200,1,158.000000000000,0.367
201,1,0.000000000000,0.000
202,1,160.000000000000,0.371
203,1,828.000000000000,1.922
204,1,874.000000000000,2.028
205,1,729.000000000000,1.692
206,1,961.000000000000,2.230
207,1,436.000000000000,1.012
